EntryID,LemmaID,Code,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0
community,community,J_01_015,imrp,Flat,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,1,Neutral,Neutral,Neutral,1,flat_b,1
popular,popular,J_01_016,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,FingerRadial,,1,1,0
lost,lost,J_01_017,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,1,5,1
supervise,supervise,J_01_018,im,Stacked,0.0,,0.0,Open,1.0,SymmetricalOrAlternating,Circular,1,Neutral,Neutral,Neutral,1,p,0
environment,environment,J_01_022,imrp,Bent,0.0,0.0,0.0,Closed,1.0,AsymmetricalDifferentHandshape,Curved,0,Hand,FingerRadial,FingerUlnar,1,1,1
shoot_1,shoot,J_01_024,i,FullyOpen,0.0,,,Open,0.0,SymmetryViolation,Curved,0,Neutral,Neutral,Neutral,0,C,0
vision,vision,J_01_025,im,Stacked,0.0,,0.0,Open,1.0,SymmetricalOrAlternating,Straight,1,Head,Eye,HeadAway,1,p,0
long_ago,long_ago,J_01_026,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,OneHanded,Circular,1,Body,BodyAway,BodyAway,1,,0
respect,respect,J_01_029,im,Crossed,0.0,0.0,0.0,Closed,0.0,SymmetricalOrAlternating,Curved,0,Head,Forehead,HeadAway,1,r,0
yay,yay,J_01_030,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,,1,Head,HeadAway,,0,5,1
client,client,J_01_031,imrp,Curved,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,0,Body,TorsoTop,TorsoBottom,1,c,0
wrestle,wrestle,J_01_033,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,Curved,1,Neutral,Neutral,Neutral,1,5,1
slice_1,slice,J_01_035,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,FingerTip,HandAway,1,O,0
meditate_1,meditate,J_01_037,m,Curved,0.0,,,Open,1.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,,0,1,0
photography,photography,J_01_038,i,FullyOpen,1.0,,,Open,0.0,SymmetricalOrAlternating,Circular,1,Neutral,Neutral,Neutral,0,l,0
result,result,J_01_039,im,Crossed,0.0,0.0,0.0,Closed,0.0,AsymmetricalDifferentHandshape,BackAndForth,0,Hand,FingerRadial,HandAway,1,B,0
afternoon,afternoon,J_01_040,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,OneHanded,,1,Neutral,Neutral,,0,,0
go_ahead,go_ahead,J_01_041,imrp,Flat,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,0,flat_b,0
all_together,all_together,J_01_044,imrp,Curved,1.0,1.0,1.0,Open,1.0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,1,curved_5,1
